,Date,Infected,Mortality,URL
69,2003/6/5 上午12:00,8403,775,https://www.who.int/csr/sars/country/2003_06_05/en/
70,2003/6/6 上午12:00,8404,779,https://www.who.int/csr/sars/country/2003_06_06/en/
71,2003/6/9 上午12:00,8421,784,https://www.who.int/csr/sars/country/2003_06_09/en/
72,2003/6/10 上午12:00,8430,789,https://www.who.int/csr/sars/country/2003_06_10/en/
73,2003/6/11 上午12:00,8435,789,https://www.who.int/csr/sars/country/2003_06_11/en/
74,2003/6/12 上午12:00,8445,790,https://www.who.int/csr/sars/country/2003_06_12/en/
75,2003/6/13 上午12:00,8454,792,https://www.who.int/csr/sars/country/2003_06_13/en/
76,2003/6/16 上午12:00,8460,799,https://www.who.int/csr/sars/country/2003_06_16/en/
77,2003/6/17 上午12:00,8464,799,https://www.who.int/csr/sars/country/2003_06_17/en/
78,2003/6/18 上午12:00,8465,801,https://www.who.int/csr/sars/country/2003_06_18/en/
79,2003/6/19 上午12:00,8462,804,https://www.who.int/csr/sars/country/2003_06_19/en/
80,2003/6/20 上午12:00,8461,804,https://www.who.int/csr/sars/country/2003_06_20/en/
81,2003/6/23 上午12:00,8459,805,https://www.who.int/csr/sars/country/2003_06_23/en/
82,2003/6/24 上午12:00,8458,807,https://www.who.int/csr/sars/country/2003_06_24/en/
83,2003/6/25 上午12:00,8460,808,https://www.who.int/csr/sars/country/2003_06_25/en/
84,2003/6/26 上午12:00,8456,809,https://www.who.int/csr/sars/country/2003_06_26/en/
85,2003/6/27 上午12:00,8450,810,https://www.who.int/csr/sars/country/2003_06_27/en/
86,2003/6/30 上午12:00,8447,811,https://www.who.int/csr/sars/country/2003_06_30/en/
87,2003/7/1 上午12:00,8445,812,https://www.who.int/csr/sars/country/2003_07_01/en/
88,2003/7/2 上午12:00,8442,812,https://www.who.int/csr/sars/country/2003_07_02/en/
89,2003/7/3 上午12:00,8439,812,https://www.who.int/csr/sars/country/2003_07_03/en/
90,2003/7/4 上午12:00,8439,812,https://www.who.int/csr/sars/country/2003_07_04/en/
91,2003/7/7 上午12:00,8439,812,https://www.who.int/csr/sars/country/2003_07_07/en/
92,2003/7/8 上午12:00,8436,812,https://www.who.int/csr/sars/country/2003_07_08/en/
93,2003/7/9 上午12:00,8436,812,https://www.who.int/csr/sars/country/2003_07_09/en/
94,2003/7/10 上午12:00,8437,812,https://www.who.int/csr/sars/country/2003_07_10/en/
95,2003/7/11 上午12:00,8437,813,https://www.who.int/csr/sars/country/2003_07_11/en/
